Customer_ID,Gender,Customer Type,Age,Income,Number of Orders,Revenue,Postal Code,Satisfaction
19556,0,0,52,261.96,2,41.9136,42420,0
90035,0,0,36,731.94,3,219.582,42420,0
12360,1,1,20,14.62,2,6.8714,90036,1
77959,1,0,44,957.5775,5,383.031,33311,0
36875,0,0,49,22.368,2,2.5164,33311,0
39177,1,0,16,48.86,7,14.1694,90032,0
79433,0,0,77,7.28,4,1.9656,90032,0
97286,0,0,43,907.152,6,90.7152,90032,0
27508,1,0,47,18.504,3,5.7825,90032,0
62482,0,0,46,114.9,5,34.47,90032,0
47583,0,0,47,1706.184,9,85.3092,90032,0
115550,0,0,33,911.424,4,68.3568,90032,1
119987,0,0,46,15.552,3,5.4432,28027,0
42141,0,0,60,407.976,3,132.5922,98103,0
2274,0,0,52,68.81,5,123.858,76106,0
22470,1,0,50,2.544,3,3.816,76106,1
124915,0,0,31,665.88,6,13.3176,53711,1
17836,1,0,52,55.5,2,9.99,84084,0
76872,0,0,43,8.56,2,2.4824,94109,1
64287,0,0,50,213.48,3,16.011,94109,0
63995,1,0,60,22.72,4,7.384,94109,0
75855,1,0,43,19.46,7,5.0596,68025,1
106181,1,0,55,60.34,7,15.6884,68025,1
44304,1,0,25,71.372,2,1.0196,19140,0
82602,0,1,30,1044.63,3,240.2649,84057,1
7823,1,0,62,11.648,2,4.2224,90049,1
127781,1,0,24,90.57,3,11.7741,90049,0
34501,0,0,22,3083.43,7,1665.0522,19140,0
121658,1,0,44,9.618,2,7.0532,19140,0
20219,1,0,51,124.2,3,15.525,19140,1
67551,1,0,43,3.264,2,1.1016,19140,1
48994,0,0,56,86.304,6,9.7092,19140,0
70811,1,1,41,6.858,6,5.715,19140,1
75241,1,0,22,15.76,2,3.546,19140,1
12312,0,0,53,29.472,3,9.9468,77095,0
48372,1,0,12,1097.544,7,123.4737,75080,1
51477,0,0,39,190.92,5,147.963,75080,0
84204,0,0,55,113.328,9,35.415,77041,0
70990,0,1,32,532.3992,3,46.9764,77041,1
101991,0,0,40,212.058,3,15.147,77041,1
87447,0,1,42,371.168,4,41.7564,77041,1
16112,1,1,24,147.168,4,16.5564,60540,0
16172,1,0,22,77.88,2,3.894,90049,1
106558,0,0,28,95.616,2,9.5616,32935,0
11536,0,0,36,45.98,2,19.7714,55122,1
47773,0,0,62,17.46,2,8.2062,55122,0
70521,0,0,60,211.96,4,8.4784,48185,0
96283,0,0,59,45,3,4.95,19901,1
117993,0,0,49,21.8,2,6.104,19901,0
74703,0,0,44,38.22,6,17.9634,47150,1
110840,0,0,58,75.18,6,35.3346,47150,1
88249,1,1,24,6.16,2,2.9568,47150,0
125877,0,0,53,89.99,1,17.0981,47150,0
83968,1,0,56,15.26,7,6.2566,10024,1
122719,0,0,30,1029.95,5,298.6855,10024,0
3949,1,1,27,208.56,6,52.14,12180,1
45542,1,0,27,32.4,5,15.552,12180,0
43742,0,0,67,319.41,5,7.098,12180,1
122093,0,0,32,14.56,2,6.9888,12180,1
121454,1,1,36,30,2,3.3,12180,1
738,1,0,44,48.48,4,16.362,12180,0
75235,0,0,70,1.68,1,0.84,12180,1
88653,0,0,55,13.98,2,6.1512,90004,1
26594,1,0,66,25.824,6,9.3612,90004,0
38339,0,0,19,146.73,3,68.9631,90004,0
46063,0,0,53,79.76,4,22.3328,90004,1
27957,1,0,22,213.115,5,15.2225,60610,1
17270,0,0,69,1113.024,8,111.3024,85234,1
87976,0,0,42,167.968,4,62.988,85234,0
31640,0,0,41,75.88,2,35.6636,22153,0
41461,0,0,53,4.616,1,1.731,10009,1
15143,1,0,35,19.05,3,8.763,49201,1
78136,0,0,54,831.936,8,114.3912,38109,1
120433,1,0,44,97.04,2,1.213,38109,0
41440,0,1,26,72.784,1,18.196,38109,1
15963,0,0,44,1.248,3,1.9344,77041,1
64303,0,1,24,9.708,3,5.8248,77041,1
3608,0,0,54,27.24,3,2.724,77041,1
7744,1,0,42,19.3,5,14.475,77070,1
21276,1,1,36,208.16,1,56.2032,35601,1
58576,0,0,61,16.74,3,8.0352,35601,0
53888,0,0,50,14.9,5,4.172,94122,1
10980,1,0,27,21.39,1,6.2031,94122,0
54151,1,0,55,200.984,7,62.8075,27707,1
115641,1,1,21,230.376,3,48.9549,60623,1
58584,0,0,31,301.96,2,33.2156,29203,1
50472,0,1,37,19.99,1,6.7966,55901,1
102623,0,0,50,6.16,2,2.9568,55901,0
31533,0,0,21,158.368,7,13.8572,77095,1
42287,0,0,53,20.1,3,6.633,90036,1
70467,1,0,45,73.584,2,8.2782,90036,0
20461,0,1,42,6.48,1,3.1104,90036,1
113346,1,0,59,12.96,2,6.2208,55407,0
115566,0,0,54,53.34,3,16.5354,55407,1
119896,0,0,46,32.96,2,16.1504,55407,0
88853,0,0,52,5.682,1,3.788,97206,1
24895,0,0,38,96.53,7,40.5426,10009,1
31122,1,0,35,51.312,3,17.9592,94122,0
91231,0,0,41,77.88,6,22.5852,55106,1
61426,0,1,40,64.624,7,22.6184,60610,1
68873,0,1,36,95.976,3,10.7973,60610,1
125701,1,0,67,1.788,3,3.0396,60610,1
94999,0,0,38,23.92,4,11.7208,55901,0
56694,0,0,50,238.896,6,26.8758,80013,1
62010,1,0,50,102.36,3,3.8385,80013,0
95868,1,0,54,36.882,3,25.8174,80013,0
123064,1,0,56,74.112,8,17.6016,28205,0
103418,1,0,38,27.992,1,2.0994,28205,1
73456,0,0,7,3.304,1,1.0738,28205,1
8851,0,0,32,339.96,5,67.992,60462,0
64241,1,0,45,41.96,2,10.9096,10035,1
81723,1,1,25,75.96,2,22.788,50322,1
88237,0,0,45,27.24,6,13.3476,50322,0
50619,1,0,34,40.096,14,14.5348,43229,1
54444,1,0,20,4.72,2,1.652,43229,1
64765,0,1,36,23.976,3,7.4925,43229,1
15941,1,1,36,130.464,6,44.0316,43229,1
14965,1,0,27,787.53,3,165.3813,98103,0
36897,1,0,40,157.794,1,115.7156,37620,1
127954,1,0,31,47.04,3,18.3456,19805,0
27872,1,0,25,30.84,4,13.878,19805,0
35854,1,0,42,226.56,6,63.4368,19805,0
14527,0,0,45,115.02,9,51.759,19805,0
47021,1,0,59,68.04,7,19.7316,19805,1
11224,1,0,34,600.558,3,8.5794,77041,1
3921,0,0,22,617.7,6,407.682,61701,1
69463,1,0,21,2.388,2,1.8308,85023,1
47050,1,0,26,243.992,7,30.499,85023,1
21970,1,0,37,81.424,2,9.1602,90004,0
30046,1,0,38,238.56,3,26.2416,90004,0
1256,0,0,17,59.97,5,11.994,43229,1
73813,1,0,15,78.304,2,29.364,43229,1
110928,0,0,53,21.456,9,6.9732,43229,1
102981,1,1,39,20.04,3,9.6192,95661,1
61571,1,0,40,35.44,1,16.6568,95661,0
3796,0,1,28,11.52,4,3.456,95661,1
73906,0,1,27,4.02,2,1.9698,95661,1
74090,0,0,41,76.176,3,26.6616,95661,0
76645,0,0,7,65.88,6,18.4464,95661,1
100462,1,1,48,43.12,14,20.6976,95661,1
54164,1,0,13,82.8,2,10.35,19140,1
6147,0,0,48,8.82,3,2.3814,94122,0
1262,0,0,49,10.86,3,5.1042,94122,1
20310,1,1,26,143.7,3,68.976,94122,0
46896,1,0,22,839.43,3,218.2518,64055,0
7237,0,0,53,671.93,7,20.1579,91104,1
44293,0,0,43,93.888,4,12.9096,43055,0
52496,1,0,56,384.45,11,103.8015,53132,0
68263,0,0,69,149.97,3,5.9988,53132,1
5289,1,0,59,1951.84,8,585.552,53132,0
109359,0,0,56,171.55,5,80.6285,53132,0
94988,1,0,11,157.92,5,17.766,85254,0
53605,0,0,25,203.184,2,15.2388,85254,0
11005,0,1,29,58.38,7,26.271,95123,0
14794,0,0,48,105.52,4,48.5392,95123,0
49480,0,0,42,80.88,6,21.0288,95123,0
120440,1,1,15,6.63,3,1.7901,98105,1
55823,0,1,49,457.568,2,51.4764,98115,1
107792,1,0,41,14.62,2,6.8714,73034,0
80531,1,0,43,944.93,7,236.2325,73034,0
128145,1,0,60,5.98,1,2.691,90045,0
63370,0,0,42,54.384,2,1.3596,19134,0
12452,0,0,8,28.4,5,13.348,88220,1
16145,0,0,42,27.68,2,9.688,98115,0
44418,1,1,18,9.936,3,2.7324,78207,1
95746,1,0,47,8159.952,8,1359.992,78207,0
41134,0,1,27,275.928,3,58.6347,78207,1
3214,0,0,67,1740.06,9,24.858,78207,1
74101,1,1,38,32.064,6,6.8136,78207,0
106220,0,1,20,177.98,5,453.849,78207,1
88134,0,0,60,143.976,3,8.9985,78207,0
64475,1,1,23,20.94,3,9.8418,90004,0
123812,1,1,25,110.96,2,53.2608,90004,1
88893,0,0,38,340.144,7,21.259,90004,0
31244,0,0,40,52.448,2,131.12,60623,0
97762,1,0,19,20.16,4,6.552,60623,1
59851,0,0,61,97.264,4,243.16,77036,0
25137,1,0,44,396.802,7,11.3372,43055,1
18412,0,0,22,15.88,5,3.7715,43055,1
87192,0,1,8,3.28,1,1.4104,10009,1
127062,0,0,45,24.816,2,1.8612,62521,1
112169,1,0,46,408.744,7,76.6395,62521,0
127798,0,0,54,503.96,4,131.0296,71203,1
91778,1,0,62,149.95,5,41.986,71203,1
42609,0,0,25,29,2,7.25,71203,0
67482,0,0,32,7.16,2,3.4368,6824,1
91108,0,0,65,176.8,8,22.984,90032,1
102318,1,1,40,37.224,3,3.7224,75051,1
51281,0,0,30,20.016,3,6.255,75051,0
6528,0,0,67,899.136,4,112.392,10035,1
121232,1,0,51,71.76,6,20.0928,10035,0
72478,0,0,47,51.84,8,24.8832,10035,0
122788,0,0,38,626.352,3,46.9764,10035,1
5528,1,0,54,19.9,5,6.567,10035,0
107726,0,0,57,14.28,7,6.7116,92374,1
72606,1,0,13,7.408,2,1.2038,45011,1
75522,0,1,20,6.048,3,1.5876,45011,0
125687,0,0,45,46.26,3,12.0276,7090,1
79908,0,0,51,2.946,2,2.2586,19120,0
117345,1,1,25,16.056,3,5.8203,19120,0
73465,0,0,39,21.744,3,6.795,44312,1
95851,0,0,46,218.75,2,161.875,80219,0
44992,1,0,53,2.6,1,0.2925,80219,1
70631,0,0,61,66.284,2,178.9668,75220,0
13761,0,0,61,35.168,7,9.6712,37064,0
74968,1,0,16,444.768,4,44.4768,90604,1
12371,0,0,44,83.92,4,5.8744,48601,1
8378,0,0,17,131.98,2,35.6346,48601,0
82080,0,0,50,15.92,4,7.4824,48601,1
107972,0,1,40,52.29,9,16.2099,48601,0
101228,1,0,47,91.99,1,3.6796,48601,0
85577,0,0,80,20.8,2,6.5,75220,0
2717,0,0,38,23.68,2,8.88,44256,0
88529,1,0,31,452.45,5,244.323,44256,0
91613,1,0,59,62.982,3,14.6958,44256,1
88865,0,0,22,1188,9,950.4,44256,1
96960,0,0,53,89.584,2,4.4792,44256,0
51191,0,0,56,93.06,6,26.0568,90032,0
9461,0,0,48,302.376,3,22.6782,90032,1
66384,1,1,38,5.584,2,1.8148,43017,1
41934,1,0,64,22.704,6,8.2302,43017,1
25381,1,0,67,19.776,4,13.8432,43017,1
14757,0,0,62,72.704,4,19.0848,43017,0
94013,1,0,57,479.988,4,383.9904,43017,0
80107,0,1,27,27.168,2,2.7168,43017,1
23590,0,1,25,2.2,1,0.968,48227,1
110384,0,0,52,622.45,5,136.939,48227,1
15069,0,0,45,21.98,1,0.2198,48227,0
17128,0,1,23,161.568,2,28.2744,38401,1
54060,1,0,55,389.696,8,43.8408,38401,0
129240,1,0,53,18.648,7,12.432,28205,1
97165,0,0,9,233.86,2,102.048,33614,0
111696,1,0,33,620.6145,3,248.2458,33614,0
1887,1,1,64,5.328,2,3.552,33614,1
89086,0,1,8,258.072,3,0,33614,1
35485,1,0,34,617.976,3,7.7247,33614,1
35719,1,0,59,10.56,2,4.752,95051,1
85669,0,0,13,25.92,5,9.396,60610,1
1137,1,0,44,419.68,5,356.728,60610,1
8358,1,0,54,11.688,3,4.6752,60610,0
17217,1,0,36,31.984,2,11.1944,60610,0
44847,0,0,11,177.225,5,120.513,60610,1
96673,0,0,32,4.044,3,2.8308,60610,1
80152,1,0,42,7.408,2,1.2038,60610,1
82277,0,1,27,2001.86,7,580.5394,55044,1
123927,1,0,33,166.72,2,41.68,55044,1
115766,0,0,28,47.88,6,23.94,55044,1
21134,1,0,44,1503.25,5,496.0725,55044,0
112062,1,1,49,25.92,4,12.4416,55044,1
28643,1,0,59,321.568,2,28.1372,94109,0
108010,1,1,20,7.61,1,3.5767,92037,0
92145,0,0,46,3347.37,13,636.0003,92037,0
115846,1,0,36,80.58,6,22.5624,10024,0
99685,0,0,62,361.92,4,162.864,10024,0
112072,1,0,59,12.132,9,8.4924,60623,0
119226,0,0,29,82.368,2,19.5624,60623,1
115925,0,1,41,53.92,5,4.044,60623,1
106552,1,0,7,647.904,6,56.6916,60623,1
25126,0,0,65,20.37,3,6.9258,10009,1
33426,1,0,50,221.55,3,6.6465,10009,0
125844,0,0,20,17.52,5,6.132,10009,1
70328,0,0,58,1.624,2,4.466,77506,0
88847,0,0,45,3059.982,3,509.997,77036,1
108398,1,0,46,2519.958,7,251.9958,77036,1
97316,0,0,43,328.224,4,28.7196,60610,0
124811,1,1,26,79.9,2,35.156,94513,1
23012,1,0,41,14.016,3,4.7304,27514,0
18088,0,0,50,7.56,6,0.3024,7960,1
37982,1,0,38,37.208,1,7.4416,45231,1
31332,0,1,38,57.576,3,21.591,45231,1
97455,0,0,55,725.84,4,210.4936,94110,0
28901,0,0,49,209.93,7,92.3692,94109,0
107606,1,1,33,5.28,3,2.3232,94109,1
53258,0,0,57,10.92,3,4.095,94109,0
14292,0,0,35,8.82,2,4.0572,90301,0
68232,0,0,40,5.98,1,1.5548,90301,0
51224,0,1,37,11.648,2,4.0768,19140,1
121386,0,0,52,18.176,4,5.9072,19140,1
31668,1,0,41,59.712,6,5.9712,19140,0
24628,0,0,14,24.84,3,8.694,19140,1
95876,0,0,32,2.08,5,3.432,77070,0
62793,1,0,11,1114.4,7,376.11,77070,1
83516,1,0,12,1038.84,5,51.942,90004,1
13221,1,0,41,141.76,5,47.844,97206,0
100404,0,1,45,239.8,5,47.96,97206,1
121453,1,1,21,31.104,6,10.8864,97206,1
21454,0,0,31,254.058,7,169.372,33319,1
15937,1,0,38,194.528,2,24.316,33319,0
70105,1,0,40,961.48,5,204.3145,33319,0
47540,1,0,13,19.096,7,6.6836,43229,0
57561,0,0,44,18.496,8,6.2424,43229,0
124103,0,0,66,255.984,2,54.3966,43229,1
125736,0,0,30,86.97,3,48.7032,43229,0
93362,1,0,44,300.416,8,78.8592,80906,1
95429,0,0,53,230.352,3,20.1558,80906,0
106943,0,0,37,218.352,3,24.5646,80906,0
100691,0,0,39,78.6,5,62.88,80906,1
119948,1,1,29,27.552,3,9.2988,80906,1
15778,1,0,38,32.4,5,15.552,7109,1
68342,1,0,59,1082.48,8,10.8248,7109,0
24665,1,0,19,56.91,3,27.3168,7109,1
81029,0,0,39,77.6,4,38.024,7109,0
70371,1,0,22,14.28,1,6.5688,7109,1
1386,1,0,50,219.075,3,131.445,60623,0
35225,1,0,22,26.8,2,12.864,10024,0
86204,1,0,56,9.84,3,2.8536,48180,0
126370,1,0,39,45.48,3,20.9208,8701,1
116184,1,0,29,289.2,6,83.868,8701,0
89613,1,0,42,4.89,1,2.0049,22204,0
99020,1,0,56,15.136,4,3.5948,80004,0
18463,1,0,27,466.768,2,52.5114,80004,0
96637,0,1,21,15.232,1,1.7136,80004,1
114678,0,0,42,6.264,3,2.0358,80004,0
97639,0,0,48,87.54,3,37.6422,7601,0
75061,1,0,53,178.384,2,22.298,33710,0
51744,0,0,64,15.552,3,5.4432,33710,1
44413,0,0,49,99.136,4,8.6744,19143,1
2389,0,0,49,135.882,1,24.1568,10024,0
105062,1,0,23,3991.98,2,1995.99,10024,1
91464,1,0,50,275.94,6,80.0226,10024,1
55721,1,0,51,360,4,129.6,10024,1
65726,1,0,34,43.57,1,13.071,10024,0
8473,0,0,49,7.16,2,3.58,90805,0
13488,0,0,56,251.52,6,81.744,92345,0
58611,1,0,46,99.99,1,34.9965,92345,0
39607,1,0,25,15.992,1,0.9995,37130,1
41704,0,0,68,290.898,3,67.8762,19143,1
126579,0,0,10,54.224,2,3.389,19143,1
44232,0,0,44,786.744,4,258.5016,19143,0
44021,1,0,61,100.24,10,33.831,19143,1
67502,0,0,18,37.764,6,27.6936,19143,1
19525,0,0,58,82.8,2,20.7,19134,0
110015,0,0,58,20.724,2,13.816,19134,1
30960,1,0,64,4.896,3,3.4272,19134,1
2153,1,0,66,4.752,1,1.6038,90045,1
115097,0,1,21,959.984,2,335.9944,90045,0
63204,1,0,39,14.368,4,4.49,90045,0
113849,1,0,50,7.712,2,2.7956,94122,0
95508,0,0,43,698.352,3,17.4588,94122,1
112350,1,0,41,4.96,4,2.3312,84041,0
20650,1,0,46,17.856,4,1.116,19140,0
65517,1,0,41,509.97,10,407.976,19140,0
116988,0,0,31,30.992,13,10.0724,19140,1
116210,0,0,53,71.928,12,8.3916,19140,1
15218,0,0,39,88.8,4,2.22,78745,0
35387,0,0,53,47.976,3,4.7976,94122,0
20002,1,0,25,7.56,3,3.0996,1852,0
102927,0,1,20,24.56,2,11.5432,1852,1
92462,1,1,46,12.96,2,4.1472,1852,1
70950,1,0,10,6.79,1,2.3086,10009,1
76034,0,0,47,24.56,2,11.5432,10009,0
97177,1,0,32,3.048,1,1.0668,10009,1
51719,0,0,14,49.12,4,23.0864,10009,1
129201,0,0,16,4355.168,4,1415.4296,10009,0
35558,0,0,53,388.704,6,4.8588,10035,1
109398,1,0,55,8.26,2,3.7996,10035,0
65351,0,0,28,17.04,4,6.9864,10035,0
102482,0,0,49,34.4,5,15.824,10035,1
17932,1,0,54,36.24,5,11.325,28205,1
122276,0,0,70,647.84,8,168.4384,31907,1
57484,0,1,25,20.7,2,9.936,31907,1
121069,0,0,48,20.7,2,9.936,10009,0
41414,1,0,7,488.646,3,86.8704,10009,1
49839,1,0,39,5.56,2,1.4456,10009,1
48189,1,0,79,47.12,8,20.7328,10009,1
82445,0,1,28,211.96,4,8.4784,94109,1
108108,1,0,41,23.2,4,10.44,6040,0
63984,0,1,27,7.36,2,0.1472,6040,1
105287,0,0,59,104.79,7,29.3412,6040,0
9385,0,0,21,1043.92,4,271.4192,6040,1
25265,1,0,48,25.92,5,9.396,78550,0
119844,1,0,53,53.424,3,4.6746,78550,1
33840,0,0,42,8.16,5,5.712,85705,1
81815,0,1,48,1023.936,8,179.1888,85705,1
83524,1,0,59,9.24,1,0.924,85705,0
78999,0,0,53,479.04,10,29.94,85705,0
46712,1,0,24,99.136,4,30.98,62301,1
41188,1,0,56,1488.424,7,297.6848,2038,1
5326,0,0,42,8.652,3,20.3322,77095,0
80176,0,1,24,23.832,3,2.6811,77095,1
46900,1,0,28,12.176,4,18.8728,77095,0
89219,0,0,17,50.96,7,25.48,94109,1
17928,1,0,31,49.536,3,17.3376,94109,1
55425,1,0,60,41.9,2,8.799,48180,0
88130,1,1,39,375.4575,3,157.0095,33024,0
48354,0,0,47,83.976,3,1.0497,33024,0
105905,1,0,60,482.34,4,337.638,19140,1
60943,1,0,13,2.96,1,0.777,19140,0
101584,1,1,29,2.624,1,0.4264,45231,1
71388,0,0,45,23.36,4,7.884,10009,0
77866,1,0,44,39.98,2,13.5932,10009,0
49223,0,0,50,246.384,2,27.7182,98198,0
106530,0,0,26,1799.97,3,701.9883,98198,1
28676,0,0,27,12.462,3,20.5623,61604,0
39553,1,0,16,75.792,3,25.5798,89115,0
109597,0,1,24,49.96,2,9.4924,2886,1
62291,1,1,34,12.96,2,6.2208,2886,1
40177,0,0,30,70.12,4,21.036,49201,0
33413,1,0,50,35.952,3,3.5952,77036,0
127599,1,1,21,2396.2656,4,317.1528,77036,1
66723,1,0,61,131.136,4,32.784,77036,1
73698,0,0,32,57.584,2,0.7198,77036,1
27641,0,0,22,9.568,2,3.4684,33180,1
83891,1,0,46,39.072,6,9.768,28403,1
51662,0,1,15,35.91,3,9.6957,10024,1
